,version,id,key,name,title,blurb,image,partype,attack,defense,magic,difficulty,tag1,tag2,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
0,9.2.1,Aatrox,266,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...","{'full': 'Aatrox.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 0, 'y': 0, 'w': 48, 'h': 48}",Blood Well,8,4,3,4,Fighter,Tank,580.0,80.0,0.0,0.0,345.0,33.0,3.25,32.1,1.25,175.0,5.0,0.25,0.0,0.0,0.0,0.0,60.0,5.0,2.5,0.651
1,9.2.1,Ahri,103,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...","{'full': 'Ahri.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 0, 'w': 48, 'h': 48}",Mana,3,4,8,5,Mage,Assassin,526.0,92.0,418.0,25.0,330.0,20.88,3.5,30.0,0.5,550.0,6.5,0.6,8.0,0.8,0.0,0.0,53.04,3.0,2.0,0.668
2,9.2.1,Akali,84,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...","{'full': 'Akali.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}",Energy,5,3,8,7,Assassin,,550.0,85.0,200.0,0.0,345.0,23.0,3.5,32.1,1.25,125.0,3.5,0.5,50.0,0.0,0.0,0.0,62.4,3.3,3.2,0.625
3,9.2.1,Alistar,12,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...","{'full': 'Alistar.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}",Mana,6,9,5,7,Tank,Support,573.36,106.0,278.84,38.0,330.0,44.0,3.5,32.1,1.25,125.0,8.5,0.85,8.5,0.8,0.0,0.0,61.1116,3.62,2.125,0.625
4,9.2.1,Amumu,32,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...","{'full': 'Amumu.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}",Mana,2,6,8,3,Tank,Mage,613.12,84.0,287.2,40.0,335.0,33.0,3.8,32.1,1.25,125.0,9.0,0.85,7.382,0.525,0.0,0.0,53.38,3.8,2.18,0.736
5,9.2.1,Anivia,34,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...","{'full': 'Anivia.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 0, 'w': 48, 'h': 48}",Mana,1,4,10,10,Mage,Support,480.0,82.0,495.0,25.0,325.0,21.22,4.0,30.0,0.5,600.0,5.5,0.55,8.0,0.8,0.0,0.0,51.376,3.2,1.68,0.625
6,9.2.1,Annie,1,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...","{'full': 'Annie.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}",Mana,2,3,10,6,Mage,,524.0,88.0,418.0,25.0,335.0,19.22,4.0,30.0,0.5,625.0,5.5,0.55,8.0,0.8,0.0,0.0,50.41,2.625,1.36,0.579
7,9.2.1,Ashe,22,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...","{'full': 'Ashe.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 336, 'y': 0, 'w': 48, 'h': 48}",Mana,7,3,2,4,Marksman,Support,539.0,85.0,280.0,32.0,325.0,26.0,3.4,30.0,0.5,600.0,3.5,0.55,6.972,0.4,0.0,0.0,61.0,2.96,3.33,0.658
8,9.2.1,AurelionSol,136,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...","{'full': 'AurelionSol.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}",Mana,2,3,8,7,Mage,Fighter,510.0,92.0,350.0,50.0,325.0,19.0,3.6,30.0,0.5,550.0,7.0,0.6,6.0,0.8,0.0,0.0,57.0,3.2,1.36,0.625
9,9.2.1,Azir,268,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...","{'full': 'Azir.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 432, 'y': 0, 'w': 48, 'h': 48}",Mana,6,3,8,9,Mage,Marksman,552.0,92.0,438.0,21.0,335.0,19.04,3.0,30.0,0.5,525.0,7.0,0.55,8.0,0.8,0.0,0.0,52.0,2.8,1.5,0.625
